Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
131,"G Gay, S Haiduc, A Marcus…","On the use of relevance feedback in IR-based concept location",2009,"… , 2009. ICSM 2009. IEEE …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/5306315/","https://scholar.google.com/scholar?cites=8489655449304113267&as_sdt=2005&sciodt=0,5&hl=en",1,"2018-11-02","","","","",,,,,131,14.56,33,4,9
73,"G Scanniello, A Marcus","Clustering support for static concept location in source code",2011,"2011 19th IEEE International Conference on …","computer.org","https://www.computer.org/csdl/proceedings/icpc/2011/4398/00/4398a001-abs.html","https://scholar.google.com/scholar?cites=16161795327866593763&as_sdt=2005&sciodt=0,5&hl=en",2,"2018-11-02","","","","",,,,,73,10.43,37,2,7
21,"A Marcus, S Haiduc","Text retrieval approaches for concept location in source code",2009,"Software engineering","Springer","https://link.springer.com/chapter/10.1007/978-3-642-36054-1_5","https://scholar.google.com/scholar?cites=7583867917792979213&as_sdt=2005&sciodt=0,5&hl=en",3,"2018-11-02","","","","",,,,,21,2.33,11,2,9
76,"B Dit, L Guerrouj, D Poshyvanyk…","Can better identifier splitting techniques help feature location?",2011,"2011 19th IEEE …","computer.org","https://www.computer.org/csdl/proceedings/icpc/2011/4398/00/4398a011-abs.html","https://scholar.google.com/scholar?cites=3861342554845925098&as_sdt=2005&sciodt=0,5&hl=en",4,"2018-11-02","","","","",,,,,76,10.86,19,4,7
11,"S Haiduc, A Marcus","On the Effect of the Query in IR-based Concept Location",2011,"Program Comprehension (ICPC), 2011 …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/5970170/","https://scholar.google.com/scholar?cites=3383320365495467981&as_sdt=2005&sciodt=0,5&hl=en",5,"2018-11-02","","","","",,,,,11,1.57,6,2,7
197,"SK Lukins, NA Kraft, LH Etzkorn","Bug localization using latent dirichlet allocation",2010,"Information and Software Technology","Elsevier","https://www.sciencedirect.com/science/article/pii/S0950584910000650","https://scholar.google.com/scholar?cites=17558175859840935212&as_sdt=2005&sciodt=0,5&hl=en",6,"2018-11-02","","","","",,,,,197,24.63,66,3,8
27,"SL Abebe, S Haiduc, P Tonella…","The effect of lexicon bad smells on concept location in source code",2011,"Source Code Analysis …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6065171/","https://scholar.google.com/scholar?cites=12358896895408776732&as_sdt=2005&sciodt=0,5&hl=en",7,"2018-11-02","","","","",,,,,27,3.86,7,4,7
19,"G Scanniello, A Marcus, D Pascale","Link analysis algorithms for static concept location: an empirical assessment",2015,"Empirical Software Engineering","Springer","https://link.springer.com/article/10.1007/s10664-014-9327-7","https://scholar.google.com/scholar?cites=10379054144741460737&as_sdt=2005&sciodt=0,5&hl=en",8,"2018-11-02","","","","",,,,,19,6.33,6,3,3
53,"CP Wong, Y Xiong, H Zhang, D Hao…","Boosting bug-report-oriented fault localization with segmentation and stack-trace analysis",2014,"2014 IEEE International …","computer.org","https://www.computer.org/csdl/proceedings/icsme/2014/6146/00/6146a181-abs.html","https://scholar.google.com/scholar?cites=8037608723916021864&as_sdt=2005&sciodt=0,5&hl=en",9,"2018-11-02","","","","",,,,,53,13.25,11,5,4
47,"C Sadowski, KT Stolee, S Elbaum","How developers search for code: a case study",2015,"Proceedings of the 2015 10th Joint …","dl.acm.org","https://dl.acm.org/citation.cfm?id=2786855","https://scholar.google.com/scholar?cites=5401539743703149394&as_sdt=2005&sciodt=0,5&hl=en",10,"2018-11-02","","","","",,,,,47,15.67,16,3,3
20,"F Beck, B Dit, J Velasco-Madden, D Weiskopf…","Rethinking user interfaces for feature location",2015,"Proceedings of the …","dl.acm.org","https://dl.acm.org/citation.cfm?id=2820304","https://scholar.google.com/scholar?cites=5435626591032024262&as_sdt=2005&sciodt=0,5&hl=en",11,"2018-11-02","","","","",,,,,20,6.67,4,5,3
7,"S Haiduc","Automatically Detecting the Quality of the Query and its Implications in IR-based Concept Location",2011,"Proceedings of the 2011 26th IEEE/ACM International …","dl.acm.org","https://dl.acm.org/citation.cfm?id=2190158","https://scholar.google.com/scholar?cites=12849152100943708321&as_sdt=2005&sciodt=0,5&hl=en",12,"2018-11-02","","","","",,,,,7,1.00,7,1,7
5,"E Hill, B Sisman, A Kak","On the use of positional proximity in IR-based feature location",2014,"Software Maintenance, Reengineering …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6747185/","https://scholar.google.com/scholar?cites=13713869811081372299&as_sdt=2005&sciodt=0,5&hl=en",13,"2018-11-02","","","","",,,,,5,1.25,2,3,4
15,"L Pollock, K Vijay-Shanker, E Hill, G Sridhara…","Natural language-based software analyses and tools for software maintenance",2009,"Software …","Springer","https://link.springer.com/chapter/10.1007/978-3-642-36054-1_4","https://scholar.google.com/scholar?cites=307362866290563540&as_sdt=2005&sciodt=0,5&hl=en",14,"2018-11-02","","","","",,,,,15,1.67,3,5,9
18,"B Sisman, AC Kak","Bug localization using version history",2014,"US Patent App. 14/091,708","Google Patents","https://patents.google.com/patent/US20140149435A1/en","https://scholar.google.com/scholar?cites=1945691620569544624&as_sdt=2005&sciodt=0,5&hl=en",15,"2018-11-02","","","","",,,,,18,4.50,9,2,4
27,"OAL Lemos, AC de Paula, FC Zanichelli…","Thesaurus-based automatic query expansion for interface-driven code search",2014,"Proceedings of the 11th …","dl.acm.org","https://dl.acm.org/citation.cfm?id=2597087","https://scholar.google.com/scholar?cites=88662777196509598&as_sdt=2005&sciodt=0,5&hl=en",16,"2018-11-02","","","","",,,,,27,6.75,7,4,4
49,"SK Bajracharya, CV Lopes","Analyzing and mining a code search engine usage log",2012,"Empirical Software Engineering","Springer","https://link.springer.com/article/10.1007/s10664-010-9144-6","https://scholar.google.com/scholar?cites=12466344067251122819&as_sdt=2005&sciodt=0,5&hl=en",17,"2018-11-02","HTML","","","",,,,,49,8.17,25,2,6
4,"E Hill, A Bacchelli, D Binkley, B Dit…","Which feature location technique is better?",2013,"… (ICSM), 2013 29th …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6676919/","https://scholar.google.com/scholar?cites=15768976493629970923&as_sdt=2005&sciodt=0,5&hl=en",18,"2018-11-02","","","","",,,,,4,0.80,1,5,5
8,"Z Shi, J Keung, Q Song","An empirical study of BM25 and BM25F based feature location techniques",2014,"Proceedings of the International Workshop on …","dl.acm.org","https://dl.acm.org/citation.cfm?id=2666594","https://scholar.google.com/scholar?cites=10886440677733639248&as_sdt=2005&sciodt=0,5&hl=en",19,"2018-11-02","","","","",,,,,8,2.00,3,3,4
11,"OAL Lemos, AC de Paula, H Sajnani…","Can the use of types and query expansion help improve large-scale code search?",2015,"Source Code Analysis …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7335400/","https://scholar.google.com/scholar?cites=3074193377144862465&as_sdt=2005&sciodt=0,5&hl=en",20,"2018-11-02","","","","",,,,,11,3.67,3,4,3
