Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Text Retrieval Approaches for Concept Location in Source Code","Software Engineering","","","","10.1007/978-3-642-36054-1_5","Andrian MarcusSonia Haiduc","2013","http://link.springer.com/chapter/10.1007/978-3-642-36054-1_5","Chapter"
"Leveraging Source Code Search for Reuse","High Confidence Software Reuse in Large Systems","","","","10.1007/978-3-540-68073-4_38","Hans-Jörg HappelThomas SchusterPeter Szulman","2008","http://link.springer.com/chapter/10.1007/978-3-540-68073-4_38","Chapter"
"Natural Language-Based Software Analyses and Tools for Software Maintenance","Software Engineering","","","","10.1007/978-3-642-36054-1_4","Lori PollockK. Vijay-ShankerEmily HillGiriprasad SridharaDavid Shepherd","2013","http://link.springer.com/chapter/10.1007/978-3-642-36054-1_4","Chapter"
"Reuse-Oriented Code Recommendation Systems","Recommendation Systems in Software Engineering","","","","10.1007/978-3-642-45135-5_14","Werner JanjicOliver HummelColin Atkinson","2014","http://link.springer.com/chapter/10.1007/978-3-642-45135-5_14","Chapter"
"MOOGLE: a metamodel-based model search engine","Software & Systems Modeling","","11","2","10.1007/s10270-010-0167-7","Daniel LucrédioRenata P. de M. FortesJon Whittle","2012","http://link.springer.com/article/10.1007/s10270-010-0167-7","Article"
"Search in Source Code Based on Identifying Popular Fragments","SOFSEM 2013: Theory and Practice of Computer Science","","","","10.1007/978-3-642-35843-2_35","Eduard KuricMária Bieliková","2013","http://link.springer.com/chapter/10.1007/978-3-642-35843-2_35","Chapter"
"From Specification to Experimentation: A Software Component Search Engine Architecture","Component-Based Software Engineering","","","","10.1007/11783565_6","Vinicius Cardoso GarciaDaniel LucrédioFrederico Araujo DurãoEduardo Cruz Reis SantosEduardo Santana de AlmeidaRenata Pontin de Mattos FortesSilvio Romero de Lemos Meira","2006","http://link.springer.com/chapter/10.1007/11783565_6","Chapter"
"An Improved Method Level Bug Localization Approach Using Minimized Code Space","Evaluation of Novel Approaches to Software Engineering","","","","10.1007/978-3-319-56390-9_9","Shanto RahmanMd. Mostafijur RahmanKazi Sakib","2016","http://link.springer.com/chapter/10.1007/978-3-319-56390-9_9","Chapter"
"RESource: A Framework for Online Matching of Assembly with Open Source Code","Foundations and Practice of Security","","","","10.1007/978-3-642-37119-6_14","Ashkan RahimianPhilippe CharlandStere PredaMourad Debbabi","2013","http://link.springer.com/chapter/10.1007/978-3-642-37119-6_14","Chapter"
"Using the Web as a Reuse Repository","Reuse of Off-the-Shelf Components","","","","10.1007/11763864_22","Oliver HummelColin Atkinson","2006","http://link.springer.com/chapter/10.1007/11763864_22","Chapter"
"On the Synergy between Search-Based and Search-Driven Software Engineering","Search Based Software Engineering","","","","10.1007/978-3-642-39742-4_18","Colin AtkinsonMarcus KesselMarcus Schumacher","2013","http://link.springer.com/chapter/10.1007/978-3-642-39742-4_18","Chapter"
"Introducing Collaboration for Locating Features in Models: Approach and Industrial Evaluation","On the Move to Meaningful Internet Systems. OTM 2017 Conferences","","","","10.1007/978-3-319-69462-7_9","Francisca PérezAna C. MarcénRaúl LapeñaCarlos Cetina","2017","http://link.springer.com/chapter/10.1007/978-3-319-69462-7_9","Chapter"
"Conclave: Ontology-Driven Measurement of Semantic Relatedness between Source Code Elements and Problem Domain Concepts","Computational Science and Its Applications – ICCSA 2014","","","","10.1007/978-3-319-09153-2_9","Nuno Ramos CarvalhoJosé João AlmeidaPedro Rangel HenriquesMaria João Varanda Pereira","2014","http://link.springer.com/chapter/10.1007/978-3-319-09153-2_9","Chapter"
"Flow-Augmented Call Graph: A New Foundation for Taming API Complexity","Fundamental Approaches to Software Engineering","","","","10.1007/978-3-642-19811-3_27","Qirun ZhangWujie ZhengMichael R. Lyu","2011","http://link.springer.com/chapter/10.1007/978-3-642-19811-3_27","Chapter"
"On the influence of program constructs on bug localization effectiveness","Journal of Software Engineering Research and Development","","5","1","10.1186/s40411-017-0040-2","Marcelo GarnierIsabella FerreiraAlessandro Garcia","2017","http://link.springer.com/article/10.1186/s40411-017-0040-2","Article"
"Roundtable: Research Opportunities and Challenges for Large-Scale Software Systems","Journal of Computer Science and Technology","","31","5","10.1007/s11390-016-1668-9","Xusheng XiaoJian-Guang LouShan LuDavid C. ShepherdXin PengQian-Xiang Wang","2016","http://link.springer.com/article/10.1007/s11390-016-1668-9","Article"
"Improving the Effectiveness of Multimedia Summarization of Judicial Debates through Ontological Query Expansion","Advanced Information Systems Engineering Workshops","","","","10.1007/978-3-642-22056-2_48","E. FersiniF. Sartori","2011","http://link.springer.com/chapter/10.1007/978-3-642-22056-2_48","Chapter"
"Improving the Performance of Pipelined Query Processing with Skipping","Web Information Systems Engineering - WISE 2012","","","","10.1007/978-3-642-35063-4_1","Simon JonassenSvein Erik Bratsberg","2012","http://link.springer.com/chapter/10.1007/978-3-642-35063-4_1","Chapter"
"Inference Based Query Expansion Using User’s Real Time Implicit Feedback","Knowledge Discovery, Knowledge Engineering and Knowledge Management","","","","10.1007/978-3-642-29764-9_11","Sanasam Ranbir SinghHema A. MurthyTimothy A. Gonsalves","2013","http://link.springer.com/chapter/10.1007/978-3-642-29764-9_11","Chapter"
"Using Concept Lattices for Text Retrieval and Mining","Formal Concept Analysis","","","","10.1007/11528784_9","Claudio CarpinetoGiovanni Romano","2005","http://link.springer.com/chapter/10.1007/11528784_9","Chapter"
"MOOGLE: A Model Search Engine","Model Driven Engineering Languages and Systems","","","","10.1007/978-3-540-87875-9_22","Daniel LucrédioRenata P. de M. FortesJon Whittle","2008","http://link.springer.com/chapter/10.1007/978-3-540-87875-9_22","Chapter"
"Unified Multimodal Search Framework for Multimedia Information Retrieval","Advanced Techniques in Computing Sciences and Software Engineering","","","","10.1007/978-90-481-3660-5_22","Umer RashidIftikhar Azim NiazMuhammad Afzal Bhatti","2010","http://link.springer.com/chapter/10.1007/978-90-481-3660-5_22","Chapter"
"Overview Scrollbar: A Scrollbar Showing an Entire Document as an Overview","Human-Computer Interaction – INTERACT 2013","","","","10.1007/978-3-642-40498-6_51","Ko MizoguchiDaisuke SakamotoTakeo Igarashi","2013","http://link.springer.com/chapter/10.1007/978-3-642-40498-6_51","Chapter"
"A new indexing method based on word proximity for Chinese text retrieval","Journal of Computer Science and Technology","","15","3","10.1007/BF02948815","Lin DuYufang Sun","2000","http://link.springer.com/article/10.1007/BF02948815","Article"
"Improving Relevance of Keyword Extraction from the Web Utilizing Visual Style Information","SOFSEM 2013: Theory and Practice of Computer Science","","","","10.1007/978-3-642-35843-2_38","Milan LučanskýMarián Šimko","2013","http://link.springer.com/chapter/10.1007/978-3-642-35843-2_38","Chapter"
