Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
1321,"Jeremy Ginsberg, Matthew H. Mohebbi, Rajan S. Patel, Lynnette Brammer, Mark S. Smolinski, Larry Brilliant","Detecting influenza epidemics using search engine query data",2009,"Nature","Nature Publishing Group","","",1,"2018-11-02","Article","10.1038/nature07634","0028-0836","",457,7232,1012,,1321,146.78,220,6,9
438,"A Spink, D Wolfram, MBJ Jansen, T Saracevic","Searching the Web: The public and their queries",2001,"Journal Of The American Society For Information Science And Technology","John Wiley & Sons Inc","","",2,"2018-11-02","Article","10.1002/1097-4571(2000)9999:9999<::AID-ASI1591>3.3.CO;2-I","1532-2882","",52,3,226,234,438,25.76,110,4,17
344,"Joshua J. Forman, Aster Legesse-Miller, Hilary A. Coller","A search for conserved sequences in coding regions reveals that the let-7 microRNA targets Dicer within its coding sequence",2008,"Proceedings Of The National Academy Of Sciences Of The United States Of America","Natl Acad Sciences","","",3,"2018-11-02","Article","10.1073/pnas.0803230105","0027-8424","",105,39,14879,14884,344,34.40,115,3,10
242,"M Valgimigli, CAG van Mieghem, ATL Ong, J Aoki, GAR Granillo, EP McFadden, AP Kappetein, PJ de Feyter, PC Smits, E Regar, WJ Van der Giessen, G Sianos, P de Jaegere, RT Van Domburg, PW Serruys","Short- and long-term clinical outcome after drug-eluting stent implantation for the percutaneous treatment of left main coronary artery disease - Insights from the rapamycin-eluting and Taxus Stent evaluated at Rotterdam Cardiology Hospital registries (RESEARCH and T-SEARCH)",2005,"Circulation","Lippincott Williams & Wilkins","","",4,"2018-11-02","Article","10.1161/01.CIR.0000158486.20865.8B","0009-7322","",111,11,1383,1389,242,18.62,16,15,13
224,"Claudio Carpineto, Giovanni Romano","A Survey of Automatic Query Expansion in Information Retrieval",2012,"Acm Computing Surveys","Assoc Computing Machinery","","",5,"2018-11-02","Article","10.1145/2071389.2071390","0360-0300","",44,1,,,224,37.33,112,2,6
202,"SF Chang, W Chen, HJ Meng, H Sundaram, D Zhong","A fully automated content-based video search engine supporting spatiotemporal queries",1998,"Ieee Transactions On Circuits And Systems For Video Technology","Ieee-Inst Electrical Electronics Engineers Inc","","",6,"2018-11-02","Article","10.1109/76.718507","1051-8215","",8,5,602,615,202,10.10,40,5,20
200,"Alan L. Porter, Jan Youtie, Philip Shapira, David J. Schoeneck","Refining search terms for nanotechnology",2008,"Journal Of Nanoparticle Research","Springer","","",7,"2018-11-02","Article","10.1007/s11051-007-9266-y","1388-0764","",10,5,715,728,200,20.00,50,4,10
198,"M Rebhan, V Chalifa-Caspi, J Prilusky, D Lancet","GeneCards: a novel functional genomics compendium with automated data mining and query reformulation support",1998,"Bioinformatics","Oxford Univ Press","","",8,"2018-11-02","Article","10.1093/bioinformatics/14.8.656","1367-4803","",14,8,656,664,198,9.90,50,4,20
183,"Eric P. Nawrocki, Sean R. Eddy","Query-dependent banding (QDB) for faster RNA similarity searches",2007,"Plos Computational Biology","Public Library Science","","",9,"2018-11-02","Article","10.1371/journal.pcbi.0030056","1553-734X","",3,3,540,554,183,16.64,92,2,11
176,"Rebecca M. Lindell, Thomas E. Hartman, Stephen J. Swensen, James R. Jett, David E. Midthun, Henry D. Tazelaar, Jayawant N. Mandrekar","Five-year lung cancer screening experience: CT appearance, growth rate, location, and histologic features of 61 lung cancers",2007,"Radiology","Radiological Soc North America","","",10,"2018-11-02","Article","10.1148/radiol.2422052090","0033-8419","",242,2,555,562,176,16.00,25,7,11
176,"John W. Ayers, Kurt M. Ribisl, John S. Brownstein","Tracking the Rise in Popularity of Electronic Nicotine Delivery Systems (Electronic Cigarettes) Using Search Query Surveillance",2011,"American Journal Of Preventive Medicine","Elsevier Science Inc","","",11,"2018-11-02","Article","10.1016/j.amepre.2010.12.007","0749-3797","",40,4,448,453,176,25.14,59,3,7
